time,indices
18:45,"[3, 14, 20, 38, 39, 40, 41, 48, 63, 66, 74, 80, 90, 108, 109, 117, 186, 205, 227, 230, 260, 286, 298, 321, 323, 330, 352, 361, 362, 384, 394, 427, 434, 448, 462, 482, 503, 515, 519, 522, 523, 526, 529, 554, 580, 598, 603, 609, 614, 619, 653, 727, 742, 766, 778, 794, 800, 806, 858, 876, 887, 913, 918, 929, 942, 982, 1032, 1045, 1088, 1125, 1138, 1164, 1186, 1197, 1209, 1215, 1221, 1225, 1228, 1237, 1242, 1253, 1254, 1258, 1262, 1267, 1270, 1282, 1286, 1288, 1290, 1301, 1308, 1312, 1332, 1376, 1429, 1468, 1474, 1514, 1529, 1536, 1550, 1564, 1576, 1586, 1588, 1682, 1692, 1704, 1706, 1712, 1729, 1748, 1752, 1756, 1761, 1795, 1797, 1803, 1813, 1819, 1820, 1828, 1840, 1857, 1858, 1859, 1873, 1884, 1889, 1900, 1912, 1926, 1950, 1967]"
19:00,"[4, 22, 26, 46, 62, 69, 70, 73, 100, 111, 115, 127, 153, 163, 195, 196, 197, 220, 256, 276, 279, 280, 282, 304, 305, 326, 335, 339, 342, 345, 348, 371, 374, 438, 441, 449, 456, 473, 487, 499, 500, 509, 535, 537, 539, 547, 549, 550, 560, 578, 581, 586, 591, 596, 604, 629, 645, 647, 649, 656, 668, 682, 685, 686, 697, 700, 713, 718, 725, 730, 738, 741, 747, 759, 773, 781, 782, 791, 793, 797, 803, 820, 824, 826, 829, 833, 870, 881, 886, 888, 907, 915, 920, 943, 967, 974, 976, 977, 978, 987, 997, 1007, 1009, 1016, 1019, 1022, 1026, 1028, 1035, 1040, 1047, 1059, 1062, 1066, 1067, 1086, 1087, 1092, 1108, 1111, 1127, 1129, 1140, 1147, 1150, 1170, 1179, 1180, 1185, 1205, 1206, 1207, 1226, 1245, 1252, 1259, 1274, 1280, 1296, 1298, 1324, 1327, 1338, 1339, 1346, 1347, 1355, 1357, 1370, 1377, 1382, 1403, 1405, 1407, 1414, 1416, 1418, 1423, 1427, 1460, 1465, 1473, 1478, 1480, 1484, 1510, 1516, 1545, 1553, 1559, 1565, 1591, 1604, 1613, 1620, 1622, 1623, 1631, 1640, 1654, 1656, 1657, 1667, 1669, 1678, 1688, 1717, 1718, 1733, 1735, 1737, 1739, 1762, 1771, 1786, 1792, 1818, 1832, 1835, 1861, 1887, 1897, 1898, 1904, 1935, 1936, 1941, 1947, 1965, 1979, 1989, 1998]"
19:15,"[9, 16, 35, 51, 54, 85, 88, 93, 96, 128, 130, 150, 170, 188, 194, 233, 250, 266, 285, 288, 293, 314, 319, 338, 347, 363, 369, 372, 377, 381, 403, 415, 430, 443, 450, 464, 477, 544, 563, 567, 584, 632, 671, 674, 677, 699, 701, 710, 733, 743, 750, 758, 762, 765, 780, 784, 788, 804, 809, 840, 843, 854, 860, 871, 875, 878, 880, 891, 925, 937, 938, 939, 945, 980, 988, 1003, 1005, 1006, 1011, 1029, 1033, 1036, 1037, 1039, 1071, 1072, 1102, 1103, 1145, 1176, 1177, 1240, 1248, 1278, 1297, 1313, 1317, 1320, 1323, 1326, 1330, 1364, 1392, 1409, 1421, 1425, 1426, 1430, 1431, 1440, 1442, 1453, 1456, 1477, 1494, 1498, 1518, 1569, 1570, 1572, 1583, 1590, 1610, 1617, 1625, 1632, 1646, 1649, 1653, 1675, 1684, 1686, 1695, 1700, 1702, 1703, 1725, 1728, 1740, 1746, 1747, 1778, 1809, 1844, 1849, 1855, 1865, 1870, 1888, 1891, 1902, 1906, 1907, 1914, 1916, 1917, 1921, 1925, 1945, 1954, 1969, 1981, 1991]"
19:30,"[8, 17, 24, 32, 37, 43, 57, 58, 75, 82, 106, 110, 133, 139, 145, 160, 164, 169, 179, 200, 209, 215, 218, 219, 223, 232, 238, 245, 252, 255, 262, 273, 277, 284, 297, 309, 313, 318, 331, 333, 370, 376, 385, 387, 389, 398, 400, 407, 426, 436, 444, 451, 496, 505, 516, 538, 541, 546, 559, 568, 576, 583, 587, 594, 600, 616, 621, 623, 637, 643, 654, 669, 706, 707, 709, 723, 753, 764, 772, 786, 795, 799, 807, 822, 823, 825, 846, 853, 863, 877, 900, 902, 903, 910, 917, 933, 946, 953, 960, 973, 979, 985, 992, 993, 995, 1001, 1004, 1008, 1010, 1012, 1014, 1024, 1025, 1027, 1041, 1044, 1046, 1054, 1063, 1068, 1078, 1082, 1090, 1101, 1128, 1130, 1133, 1142, 1148, 1165, 1166, 1167, 1169, 1183, 1190, 1191, 1196, 1199, 1203, 1236, 1241, 1249, 1250, 1260, 1271, 1279, 1300, 1302, 1309, 1341, 1353, 1356, 1358, 1362, 1379, 1383, 1387, 1408, 1420, 1433, 1441, 1451, 1457, 1469, 1504, 1508, 1521, 1525, 1531, 1538, 1560, 1577, 1601, 1603, 1607, 1615, 1616, 1626, 1627, 1633, 1641, 1644, 1647, 1660, 1665, 1668, 1674, 1696, 1698, 1736, 1743, 1760, 1775, 1777, 1779, 1789, 1796, 1816, 1842, 1850, 1854, 1864, 1866, 1874, 1878, 1882, 1909, 1911, 1915, 1940, 1944, 1952, 1957, 1960, 1962, 1973, 1978, 1994, 1997]"
19:45,"[10, 25, 28, 31, 44, 79, 84, 86, 92, 98, 113, 116, 146, 154, 157, 168, 173, 191, 216, 224, 231, 241, 251, 261, 275, 292, 308, 340, 346, 355, 356, 390, 391, 404, 410, 423, 425, 432, 442, 445, 453, 457, 460, 468, 498, 504, 507, 525, 553, 562, 566, 571, 572, 575, 592, 627, 665, 673, 675, 683, 689, 696, 703, 708, 712, 722, 732, 735, 740, 776, 798, 815, 819, 835, 864, 867, 874, 895, 905, 908, 912, 923, 924, 948, 957, 969, 975, 981, 984, 1042, 1052, 1060, 1069, 1070, 1080, 1084, 1089, 1091, 1093, 1095, 1118, 1126, 1156, 1184, 1198, 1201, 1208, 1217, 1223, 1232, 1264, 1266, 1284, 1285, 1293, 1325, 1335, 1365, 1375, 1386, 1390, 1395, 1402, 1422, 1461, 1471, 1472, 1481, 1483, 1492, 1495, 1496, 1503, 1506, 1519, 1520, 1522, 1535, 1554, 1567, 1579, 1584, 1585, 1592, 1611, 1628, 1635, 1650, 1652, 1664, 1670, 1710, 1711, 1727, 1765, 1769, 1784, 1790, 1791, 1799, 1811, 1852, 1877, 1908, 1931, 1938, 1951, 1964, 1974, 1977, 1980, 1985, 1990]"
20:00,"[1, 36, 65, 99, 102, 141, 142, 151, 162, 165, 172, 175, 193, 213, 228, 237, 244, 253, 263, 310, 354, 375, 416, 422, 435, 476, 577, 588, 605, 606, 611, 618, 628, 646, 651, 655, 687, 731, 745, 785, 805, 810, 827, 828, 868, 869, 926, 927, 958, 1030, 1038, 1043, 1050, 1119, 1182, 1211, 1219, 1231, 1247, 1255, 1295, 1304, 1314, 1333, 1367, 1398, 1428, 1482, 1491, 1512, 1573, 1582, 1589, 1600, 1605, 1636, 1694, 1699, 1707, 1714, 1723, 1724, 1783, 1829, 1836, 1846, 1847, 1892, 1924, 1959, 1987]"
20:15,"[7, 64, 77, 81, 119, 176, 177, 185, 198, 206, 242, 247, 268, 301, 317, 334, 337, 349, 360, 365, 367, 408, 489, 490, 493, 517, 530, 536, 641, 648, 650, 664, 667, 678, 684, 715, 729, 811, 838, 849, 873, 914, 930, 950, 959, 1020, 1073, 1083, 1096, 1110, 1120, 1152, 1181, 1193, 1195, 1220, 1224, 1244, 1257, 1265, 1316, 1369, 1378, 1393, 1432, 1446, 1463, 1475, 1476, 1485, 1551, 1571, 1602, 1612, 1614, 1672, 1677, 1732, 1745, 1763, 1785, 1862, 1868, 1875, 1905, 1919, 1920, 1928, 1934, 1958]"
20:30,"[15, 83, 87, 97, 104, 129, 134, 140, 143, 152, 174, 182, 208, 210, 211, 240, 254, 341, 405, 419, 458, 461, 472, 474, 488, 622, 638, 640, 661, 676, 704, 767, 770, 777, 783, 841, 847, 894, 904, 1051, 1058, 1076, 1109, 1132, 1149, 1200, 1229, 1238, 1311, 1348, 1470, 1527, 1634, 1680, 1687, 1715, 1721, 1758, 1782, 1807, 1856, 1881, 1886, 1893, 1901, 1971, 1993]"
20:45,"[23, 136, 212, 258, 328, 386, 397, 412, 417, 465, 531, 692, 719, 760, 796, 882, 952, 955, 999, 1151, 1202, 1289, 1329, 1388, 1400, 1438, 1445, 1493, 1548, 1557, 1562, 1566, 1629, 1661, 1689, 1705, 1734, 1753, 1772, 1808, 1863, 1885, 1970, 1988]"
21:00,"[11, 91, 125, 183, 249, 327, 379, 383, 401, 447, 634, 679, 757, 865, 934, 954, 971, 1085, 1107, 1116, 1194, 1261, 1277, 1374, 1549, 1599, 1655, 1755, 1833, 1910, 1929, 1946, 1999]"
21:15,"[138, 291, 311, 413, 540, 751, 816, 884, 916, 1057, 1131, 1137, 1322, 1397, 1546, 1788, 1822, 1894]"
21:30,"[120, 1074, 1213, 1303, 1738]"
